ID,System,TM,TMA,AverageTip,RST,RSI,RSE,Time,CorrectSteps,TriedSteps,Score
1041449,0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.19,100
1041563,1,0.77,0.0,1.0,0.0,0.0,1.0,0.56,1.0,0.89,40
1041639,1,0.02,0.09,0.15,0.6,0.4,0.0,0.34,1.0,0.48,92
1042701,1,1.0,0.0,0.5,0.2,0.4,0.4,0.45,1.0,0.52,100
1043330,1,0.05,0.0,0.1,0.8,0.2,0.0,0.29,1.0,0.63,100
1043363,1,0.47,0.0,0.1,0.8,0.2,0.0,0.39,1.0,0.85,40
1051402,0,0.22,0.12,0.0,1.0,0.0,0.0,0.43,1.0,0.85,0
1051403,0,0.05,0.05,0.0,1.0,0.0,0.0,0.37,1.0,1.0,100
1051405,0,0.01,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.19,100
1051410,0,0.04,0.19,0.0,1.0,0.0,0.0,0.28,1.0,0.52,100
1051421,0,0.21,0.0,0.2,0.6,0.4,0.0,0.52,1.0,1.0,60
1051425,1,0.04,0.0,0.4,0.6,0.0,0.4,0.44,1.0,0.93,100
1051438,1,0.01,0.42,0.4,0.2,0.8,0.0,0.5,1.0,0.56,96
1051439,1,0.29,0.0,0.0,0.8,0.2,0.0,0.27,1.0,0.19,100
1051443,0,0.92,0.21,0.0,1.0,0.0,0.0,0.63,1.0,1.0,100
1051444,0,0.5,0.12,0.0,0.8,0.2,0.0,1.0,1.0,0.26,100
1051450,1,0.12,0.35,0.2,0.33,0.67,0.0,1.0,0.6,1.0,92
1051453,0,0.6,0.0,0.2,0.0,1.0,0.0,0.13,1.0,0.19,100
1051455,1,0.02,0.0,0.35,0.6,0.2,0.2,0.27,1.0,0.41,100
1051502,1,0.03,0.0,0.15,0.8,0.2,0.0,0.26,1.0,0.19,100
1051503,1,0.46,0.0,0.2,0.8,0.0,0.2,0.51,1.0,0.41,96
1051507,1,0.04,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.26,100
1051528,0,0.01,0.0,0.15,0.8,0.2,0.0,0.11,1.0,0.19,100
1051533,0,0.04,0.0,0.0,1.0,0.0,0.0,0.32,1.0,0.56,100
1051535,0,0.12,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.26,100
1051539,0,0.07,0.0,0.0,1.0,0.0,0.0,0.32,1.0,0.19,100
1051540,1,0.01,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.19,100
1051542,1,0.09,0.0,0.05,0.6,0.4,0.0,0.27,1.0,0.41,100
1051544,0,0.38,0.0,0.35,0.6,0.2,0.2,0.7,1.0,1.0,40
1051546,0,0.09,0.0,0.1,0.6,0.4,0.0,0.7,1.0,1.0,100
1051548,0,0.08,0.0,0.35,0.2,0.6,0.2,0.26,1.0,0.33,100
1053316,0,0.36,0.0,0.25,0.6,0.4,0.0,0.3,1.0,1.0,100
1053321,1,0.47,0.0,0.2,0.2,0.8,0.0,0.2,1.0,0.26,100
1053324,1,0.13,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.19,36
1053329,0,0.45,0.0,0.15,0.8,0.2,0.0,0.26,1.0,0.19,100
1053330,1,0.11,0.0,0.1,0.6,0.4,0.0,0.36,1.0,0.56,100
1053333,0,0.04,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.33,100
1053339,0,1.0,0.0,0.2,0.8,0.0,0.2,0.49,1.0,0.78,100
1053348,0,0.3,0.0,0.05,0.8,0.2,0.0,0.14,1.0,0.19,100
1013319,1,0.06,0.0,0.0,0.8,0.2,0.0,0.18,1.0,0.19,100
1021412,1,0.73,0.0,0.0,0.8,0.2,0.0,0.28,1.0,0.19,100
1021435,1,0.23,0.02,0.05,0.6,0.4,0.0,0.17,1.0,0.19,100
1021520,1,0.79,0.02,0.7,0.0,0.4,0.6,0.3,1.0,0.7,100
1021521,0,0.01,0.0,0.0,1.0,0.0,0.0,0.34,1.0,0.19,100
1023317,0,0.02,0.0,0.0,1.0,0.0,0.0,0.46,1.0,0.26,80
1031444,1,0.09,0.19,0.8,0.2,0.0,0.8,0.25,1.0,0.48,100
1041225,1,0.86,0.0,0.0,0.8,0.2,0.0,0.25,1.0,0.19,100
1041416,0,0.72,0.0,0.0,1.0,0.0,0.0,0.29,1.0,0.19,92
1041445,0,0.54,0.0,0.0,0.8,0.2,0.0,0.27,1.0,0.19,100
1041449,0,0.07,0.0,0.05,0.8,0.2,0.0,0.38,1.0,0.19,100
1041563,1,1.0,0.0,0.55,0.0,0.6,0.4,0.39,1.0,0.26,100
1041639,1,0.01,0.0,0.4,0.2,0.8,0.0,0.49,1.0,0.48,100
1042701,1,0.64,0.0,0.35,0.2,0.6,0.2,0.34,1.0,0.33,100
1043363,1,0.64,0.0,0.0,0.8,0.2,0.0,0.23,1.0,0.19,0
1051402,0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,1.0,0.26,100
1051403,0,0.51,0.07,0.0,1.0,0.0,0.0,0.51,1.0,0.96,100
1051405,0,0.01,0.0,0.1,0.8,0.2,0.0,0.52,1.0,0.59,36
1051410,0,0.07,0.0,0.0,0.8,0.2,0.0,0.48,1.0,0.96,100
1051417,1,0.01,0.0,0.55,0.2,0.6,0.2,0.77,1.0,0.48,100
1051419,0,0.25,0.07,0.45,0.4,0.2,0.4,0.45,1.0,0.19,36
1051421,0,0.56,0.0,0.0,1.0,0.0,0.0,0.58,1.0,0.78,100
1051425,1,0.01,0.0,0.4,0.4,0.4,0.2,0.2,1.0,0.26,100
1051438,1,0.12,0.0,0.25,0.0,1.0,0.0,0.32,1.0,0.26,72
1051443,0,0.33,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.19,100
1051444,0,1.0,0.0,0.0,0.8,0.2,0.0,0.72,1.0,0.63,100
1051450,1,0.01,0.05,0.35,0.5,0.0,0.5,0.96,0.4,0.56,76
1051453,0,0.05,0.0,0.55,0.0,0.6,0.4,0.38,1.0,0.48,100
1051455,1,0.01,0.0,0.8,0.2,0.0,0.8,0.52,1.0,0.56,100
